,GDP,GINI,CPI2015,residual_CPI
GDP,1.00,-0.06,0.21,0.00
GINI,-0.06,1.00,-0.29,-0.29
crop_land,0.84,0.00,-0.03,-0.21
grazing_land,0.68,0.14,-0.03,-0.18
forest_land,0.80,0.01,0.06,-0.10
fishing_ground,0.82,0.02,0.04,-0.14
built_up_land,0.87,0.01,-0.03,-0.22
carbon,0.91,0.01,0.02,-0.17
EFtotal,0.91,0.02,0.01,-0.18
Human_Development_Index,0.25,-0.36,0.75,0.71
Life_expectancy_at_birth,0.27,-0.40,0.70,0.66
Expected_years_of_schooling,0.22,-0.37,0.74,0.71
Mean_years_of_schooling,0.18,-0.34,0.64,0.62
Gross_national_income_GNI_per_capita,0.19,-0.30,0.76,0.73
CPI2015,0.21,-0.29,1.00,0.98
residual_CPI,0.00,-0.29,0.98,1.00
